"","x"
"1",7908.89776658452
"2",7658.68342263747
"3",7865.16150023231
"4",7871.91611400211
"5",7730.38197237844
"6",7151.7625464429
"7",8248.36556299367
"8",8781.31217680395
"9",7599.54587450405
"10",7540.65730722425
"11",7925.41107524728
"12",8332.39021209614
